,Polarity_median,Polarity_mean,Polarity_mode,Polarity_stdev,PR_nb_comments,PR_state,lines_added,lines_removed,modified_files,modified_classes,class_loc,class_cboModified,class_wmc,class_lcom*,total_methods_qtt,method_loc,method_cboModified,method_wmc,parameters_qtt
164,0.00,0.00,0,0.00,2,-1,0,18,2,2,-4.00,-2.00,-1.00,-0.03,-1.00,0.00,0.00,0.00,0.00
165,0.00,0.00,0,0.82,3,-1,247,2,6,6,15.00,1.00,2.00,0.00,1.50,4.00,0.00,1.00,0.00
166,0.00,0.11,0,0.74,9,-1,54,128,3,3,-11.00,2.00,-1.00,0.00,-1.00,0.00,0.00,0.00,0.00
167,0.00,0.00,0,0.58,6,-1,22,8,1,1,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,0.00,0.00,0,0.39,4,-1,183,0,6,3,5.00,3.00,1.00,0.00,1.00,3.00,0.00,1.00,0.50
169,0.00,0.00,0,0.55,6,-1,105,0,5,3,11.00,1.00,2.00,0.00,1.00,1.50,1.00,0.50,0.00
170,0.00,0.00,0,0.00,21,-1,403,1,12,9,9.00,4.00,2.00,0.00,2.00,3.00,0.00,1.00,0.00
171,0.00,0.00,0,0.00,2,-1,10,1,3,2,2.50,0.00,0.50,-0.00,0.50,0.00,0.00,0.00,0.00
172,0.00,0.29,0,0.45,7,-1,80,2,2,2,1.50,-3.00,-0.50,-0.17,-0.50,2.00,0.50,0.50,0.00
173,0.00,0.00,0,0.00,5,-1,1,8,1,1,-5.00,0.00,0.00,0.00,0.00,,,,
174,0.00,0.00,0,0.00,3,-1,65,4,2,2,19.50,2.50,0.50,0.00,0.50,12.00,1.00,0.50,0.00
175,0.00,0.00,0,0.50,8,-1,96,68,4,2,7.50,0.00,2.00,0.01,1.50,1.50,0.00,0.50,0.00
176,1.00,0.55,1,0.66,11,-1,28,0,3,1,15.00,0.00,3.00,-0.01,3.00,0.00,0.00,0.00,0.00
177,1.00,0.67,1,0.47,6,-1,145,0,6,5,7.00,1.00,2.00,0.00,2.00,3.00,0.00,1.00,0.00
178,0.00,0.00,0,0.00,4,-1,6,0,1,1,6.00,0.00,2.00,0.00,0.00,3.00,1.00,1.00,0.00
179,0.00,0.33,0,0.47,3,-1,79,7,2,2,21.00,4.00,4.50,0.14,2.50,3.00,1.00,1.00,0.00
180,1.00,0.58,1,0.49,12,-1,31,1,2,2,-12.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00
181,0.00,0.00,0,0.00,16,-1,4241,13962,211,99,21.50,8.50,4.50,0.00,3.00,3.00,1.00,1.00,1.00
182,0.00,0.18,0,0.60,28,-1,857,7,27,12,8.00,4.50,2.00,0.00,2.00,3.00,0.00,1.00,0.00
183,1.00,0.50,1,0.76,6,-1,4,1,1,1,0.00,3.00,0.00,0.00,0.00,,,,
184,0.50,0.50,1,0.50,7,-1,68,51,2,2,7.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00
185,0.00,0.00,0,0.45,5,-1,387,14,4,4,39.50,0.50,8.00,0.00,4.50,4.00,0.00,1.00,0.00
186,0.00,0.00,0,0.00,1,-1,104,30,2,2,27.00,1.50,4.00,-0.05,2.00,0.00,0.00,0.00,0.00
187,0.00,-0.17,0,0.37,6,-1,91,377,63,55,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,0.00,0.00,0,0.00,3,-1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,,,,
